"hilbert_index","col","row","temperature_uK","frequency_hz"
552,22,23,0.7792194217922408,888.3146444479589
553,23,23,0.4970635709925404,823.9912654810915
554,23,24,1.0033617480486994,942.9727033259816
555,24,24,1.4451120649541052,1060.7370186824357
556,24,23,0.05070115737675157,731.6112988986343
557,24,22,-0.14878237482229273,693.7468443331878
558,23,22,0.1971505947355786,760.718488776199
559,23,21,0.7569776154302463,883.066766658038
560,24,21,0.5528353585327731,836.3251615687592
561,24,20,1.1704544092138534,985.8958094613289
562,24,19,1.3227291314212193,1026.711788553331
563,23,19,-0.8521036231315042,575.2144518660741
564,23,20,1.4401862229089226,1059.3459898573994
565,22,20,1.17475718836547,987.0265470965123
566,21,20,-0.19220503743922768,685.7679846826412
567,21,19,0.32831646620573807,787.7697437609929
568,22,19,0.3893510984492221,800.6832440104434
569,22,18,-1.0291953470318431,548.7076827305659
570,21,18,-0.10408144650771972,702.0575676147142
571,21,17,-0.8180909530096236,580.4501235097783
572,22,17,-1.3412896443737599,504.93221320337545
573,23,17,-0.1910759794509942,685.9742810638829
574,23,18,-0.6123502130730636,613.1521045513159
575,24,18,-0.0014250167314717732,721.5220880578555
576,24,17,-0.6762453469587701,602.8035928304389
577,25,17,0.5341484984874427,832.1721437852174
578,26,17,2.151150990062591,1280.2458621185829
579,26,18,2.953572943174376,1585.368176652816
580,25,18,1.8300407336355429,1175.2826110508915
581,25,19,1.3950138776542798,1046.6743504936742
582,25,20,1.7262406688993597,1143.2286280170601
583,26,20,1.9986757260879273,1229.285194764783
584,26,19,1.508518008841596,1078.8064131228505
585,27,19,2.5278131288511214,1415.3751423983608
586,27,20,2.8792279561829943,1554.2781518909453
587,28,20,2.027342831958489,1238.7090526410395
588,28,19,2.73070006666636,1493.979735633112
589,28,18,2.287275252626298,1327.5239662030149
590,27,18,2.565290845160414,1429.5770712634405
591,27,17,2.699162604098311,1481.4805649464734
592,28,17,1.980755679019226,1223.4307135840747
593,29,17,0.7463118159718667,880.5612173843627
594,29,18,2.2871152062054123,1327.4673667910392
595,30,18,1.4279056756287796,1055.8859732788576
596,30,17,0.43968902075409266,811.492705563562
